bpm,compStyle,composer,key,style,title,song_index
160,Jazz-Medium Up Swing,Erskine Peter,Bb,Medium Up Swing,Worth The Wait,1311
100,Jazz-Medium Swing,Loewe Frederick,G,Medium Swing,Wouldn't It Be Loverly,1312
240,Jazz-Up Tempo Swing,Tristano Lennie,F,Up Tempo Swing,Wow,1313
100,Jazz-Medium Swing,Barris Harry,C,Medium Swing,Wrap Your Troubles In Dreams,1314
160,Jazz-Medium Up Swing,Parker Charlie,C,Medium Up Swing,Yardbird Suite,1315
240,Jazz-Up Tempo Swing,Shorter Wayne,D,Up Tempo Swing,Yes And No,1316
100,Jazz-Medium Swing,Mysels Robertson,Bb,Medium Swing,Yesterday's Gardenias,1317
160,Jazz-Medium Up Swing,Kern Jerome,D-,Medium Up Swing,Yesterdays,1318
160,Jazz-Medium Up Swing,Schwartz Arthur,C-,Medium Up Swing,You And The Night And The Music,1319
60,Jazz-Ballad Swing,Rodgers Richard,C,Ballad,You Are Too Beautiful,1320
100,Jazz-Medium Swing,Reichner-Graham,Eb,Medium Swing,You Better Go Now,1321
170,Jazz-Medium Up Swing,Jordan Clifford,Bb,Medium Up Swing,You Better Leave it Alone,1322
100,Jazz-Medium Swing,Fain-Kaval-Norman,G,Medium Swing,You Brought A New Kind Of Love,1323
160,Jazz-Medium Up Swing,Carpenter-Dunlap-Hines,F,Medium Up Swing,You Can Depend On Me,1324
160,Jazz-Medium Up Swing,Porter Cole,Eb,Medium Up Swing,You Do Something To Me,1325
60,Jazz-Ballad Swing,Raye-DePaul,F-,Ballad,You Don't Know What Love Is,1326
60,Jazz-Ballad Swing,Coots Fred,Eb,Ballad,You Go To My Head,1327
100,Jazz-Medium Swing,Berlin Irving,Eb,Medium Swing,You Keep Coming Back Like A Song,1328
100,Jazz-Medium Swing,Monaco James,C,Medium Swing,You Made Me Love You,1329
100,Jazz-Medium Swing,Myrow Josef,Bb,Medium Swing,You Make Me Feel So Young,1330
60,Jazz-Ballad Swing,Legrand Michel,B-,Ballad,You Must Believe In Spring,1331
100,Jazz-Medium Swing,Nacio-Herb-Brown,C,Medium Swing,You Stepped Out Of A Dream,1332
100,Jazz-Medium Swing,Rodgers Richard,Eb,Medium Swing,You Took Advantage Of Me,1333
100,Jazz-Medium Swing,Alter Louis,F,Medium Swing,You Turned The Tables on Me,1334
60,Jazz-Ballad Swing,Goell-Spielman,Bb-,Ballad,You Won't Forget Me,1335
160,Jazz-Medium Up Swing,Porter Cole,A-,Medium Up Swing,You'd Be So Nice To Come Home To,1336
100,Jazz-Medium Swing,Hamilton Ord,F,Medium Swing,You're Blas̩,1337
140,Jazz-Bossa Nova,Corea Chick,A,Bossa Nova,You're Everything,1338
100,Jazz-Medium Swing,Berlin Irving,Eb,Medium Swing,You're Laughing At Me,1339
100,Jazz-Medium Swing,Warren Harry,C,Medium Swing,You're My Everything,1340
100,Jazz-Medium Swing,Gorney Jay,C,Medium Swing,You're My Thrill,1341
100,Jazz-Medium Swing,Morgan-Stock-Cavanaugh,Eb,Medium Swing,You're Nobody Till Somebody Loves You,1342
100,Jazz-Medium Swing,Porter Cole,Eb,Medium Swing,You're The Top,1343
60,Jazz-Ballad Swing,Fisher Carl,Eb,Ballad,You've Changed,1344
60,Jazz-Ballad Swing,Hague Albert,C,Ballad,Young And Foolish,1345
60,Jazz-Ballad Swing,Richards Johnny,Bb,Ballad,Young At Heart,1346
100,Jazz-Medium Swing,Hanley James,Eb,Medium Swing,Zing Went The Strings Of My Heart,1347
140,Jazz-Bossa Nova,Jobim Antonio-Carlos,G-,Bossa Nova,Zingaro (Retrato Em Branco E Preto),1348
180,Jazz-Latin,Shaw Woody,C,Latin,Zoltan,1349
93,Pop-RnB,The Jackson 5 (Mizell-Perren-Richards-Gordy),Ab,RnB,ABC,1350
75,Pop-Slow Rock,"The Beatles (Lennon, McCartney)",D,Rock Pop,Across the Universe,1351
65,Pop-Slow Rock,Lara Fabian (Albinoni),A-,Pop Ballad,Adagio,1352
